ID Emenda,Empenhado,Liqudado,Pago,Reservado,Data da Ultima atualização
130.08.36.2026,0,0,0,0,
130.16.36.2026,0,0,0,0,
130.02.36.2026,0,0,0,0,
130.03.36.2026,0,0,0,0,
130.15.36.2026,0,0,0,0,
130.19.36.2026,0,0,0,0,
130.01.36.2026,0,0,0,0,
130.05.36.2026,0,0,0,0,
130.12.36.2026,0,0,0,0,
130.20.36.2026,0,0,0,0,
