Número Emenda,Data Criação,Município,CNPJ,Nome Responsável,Cargo Responsável,LOA 2026 Check,Âmbito,Tipo Emenda,Tipo Emenda Outro,Fundamento Legal,Autor,Número Emenda,Objeto,Finalidade,Função,Destinação,Órgão Beneficiário,Localidade Beneficiada,Instrumento Jurídico,Possui Cronograma,Prazo Aplicação,Valor,Valor Autorizado,% RCL,Conta Específica,Número Conta,Portal Transparência Check,Divulgação Tempo Real,Link Portal,Monitoramento Check,Status,Prioridade,Latitude,Longitude,Categoria,Fornecedor,Número Licitação,Código de Aplicação,Código Aplicação Variável,SubFunção
102.14.02.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Josias Nascimento de Jesus,102.14.02.2026,"Contribuir no desenvolvimento de projetos sociais para melhorar a qualidade de vida dos segmentos mais carentes da população osasquense, visando ao resgate da dignidade da pessoa humana",,08,Custeio,FUNDO SOCIAL DE SOLIDARIEDADE,,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"200.000,00","200.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,8,,,804,0198,244
102.15.02.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Laércio Patrício de Mendonça,102.15.02.2026,"Contribuir no desenvolvimento de projetos sociais para melhorar a qualidade de vida dos segmentos mais carentes da população osasquense, visando ao resgate da dignidade da pessoa humana",,08,Custeio,FUNDO SOCIAL DE SOLIDARIEDADE,,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"20.000,00","20.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,8,,,804,0210,244
102.18.02.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Ralfi Rafael da Silva,102.18.02.2026,"Contribuir no desenvolvimento de projetos sociais para melhorar a qualidade de vida dos segmentos mais carentes da população osasquense, visando ao resgate da dignidade da pessoa humana",,08,Custeio,FUNDO SOCIAL DE SOLIDARIEDADE,,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"40.000,00","40.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,8,,,804,0237,244
102.19.02.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Rodrigo Mendes Pascoto,102.19.02.2026,"Contribuir no desenvolvimento de projetos sociais para melhorar a qualidade de vida dos segmentos mais carentes da população osasquense, visando ao resgate da dignidade da pessoa humana",,08,Custeio,FUNDO SOCIAL DE SOLIDARIEDADE,,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"40.000,00","40.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,8,,,804,0250,244
102.20.02.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Sergio Augusto Fontellas dos Santos,102.20.02.2026,"Contribuir no desenvolvimento de projetos sociais para melhorar a qualidade de vida dos segmentos mais carentes da população osasquense, visando ao resgate da dignidade da pessoa humana",,08,Custeio,FUNDO SOCIAL DE SOLIDARIEDADE,,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"20.000,00","20.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,8,,,804,0260,244
102.21.02.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Stephane Carolina Rossi de Almeida Magdesian,102.21.02.2026,"Contribuir no desenvolvimento de projetos sociais para melhorar a qualidade de vida dos segmentos mais carentes da população osasquense, visando ao resgate da dignidade da pessoa humana",,08,Custeio,FUNDO SOCIAL DE SOLIDARIEDADE,,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"80.000,00","80.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,8,,,804,0285,244
103.02.34.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Batista de Sousa Moreira,103.02.34.2026,Aquisição de drones para mapeamento de áreas de risco e ações de planejamento para prevenção e enfrentamento de desastres.,,04,Investimento,GABINETE DA COORDENADORIA DA DEFESA CIVIL,,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"20.000,00","20.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,4,,,804,0025,126
103.03.34.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Carmônio Gonçalves Bastos,103.03.34.2026,Aquisição de drones para mapeamento de áreas de risco e ações de planejamento para prevenção e enfrentamento de desastres.,,04,Investimento,GABINETE DA COORDENADORIA DA DEFESA CIVIL,,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"20.000,00","20.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,4,,,804,0033,126
103.08.34.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Fabio Chirinhan,103.08.34.2026,Aquisição de drones para mapeamento de áreas de risco e ações de planejamento para prevenção e enfrentamento de desastres.,,04,Investimento,GABINETE DA COORDENADORIA DA DEFESA CIVIL,,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"20.000,00","20.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,4,,,804,0096,126
103.10.34.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Gabriel de Paula Barbosa,103.10.34.2026,Aquisição de drones para mapeamento de áreas de risco e ações de planejamento para prevenção e enfrentamento de desastres.,,04,Investimento,GABINETE DA COORDENADORIA DA DEFESA CIVIL,,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"50.000,00","50.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,4,,,804,0126,126
